Nomenclature,ReporterISO3,ProductCode,ProductDescription,ReporterName,PartnerISO3,PartnerName,TradeFlowName,TradeFlowCode,2013 in 1000 USD ,2014 in 1000 USD ,2015 in 1000 USD ,2016 in 1000 USD 
H4,CHE,10121,-- Pure-bred breeding animals,Switzerland,WLD, World,Import,5,8546.392,1072.727,2720.646,3583.971
H4,CHE,10129,-- Other,Switzerland,WLD, World,Import,5,61079.444,66015.663,58564.122,55535.094
H4,CHE,10130,- Asses,Switzerland,WLD, World,Import,5,32.191,39.394,41.158,48.729
H4,CHE,10190,- Other,Switzerland,WLD, World,Import,5,5.05,22.395,21.587,30.347
H4,CHE,10221,-- Pure-bred breeding animals,Switzerland,WLD, World,Import,5,3000.387,2822.913,2413.417,3299.275
H4,CHE,10229,-- Other,Switzerland,WLD, World,Import,5,5487.089,5568.76,5330.801,5443.459
H4,CHE,10231,-- Pure-bred breeding animals,Switzerland,WLD, World,Import,5,,57.602,,
H4,CHE,10310,- Pure-bred breeding animals,Switzerland,WLD, World,Import,5,85.703,49.401,107.9,44.395
H4,CHE,10391,-- Weighing less than 50 kg,Switzerland,WLD, World,Import,5,129.123,160.433,226.42,412.08
H4,CHE,10392,-- Weighing 50 kg or more,Switzerland,WLD, World,Import,5,388.496,392.914,376.712,367.865
H4,CHE,10410,- Sheep,Switzerland,WLD, World,Import,5,149.2,167.53,143.011,188.439
H4,CHE,10420,- Goats,Switzerland,WLD, World,Import,5,45.245,7.763,35.65,37.407
H4,CHE,10511,-- Fowls of the species Gallus dome,Switzerland,WLD, World,Import,5,2291.276,2359.334,2453.291,2086.03
H4,CHE,10512,-- Turkeys,Switzerland,WLD, World,Import,5,,4.856,7.475,8.594
H4,CHE,10513,-- Ducks,Switzerland,WLD, World,Import,5,1.87,7.136,12.33,13.376
H4,CHE,10514,-- Geese,Switzerland,WLD, World,Import,5,20.556,32.255,28.681,32.184
H4,CHE,10515,-- Guinea Fowls,Switzerland,WLD, World,Import,5,,13.86,32.124,19.098
H4,CHE,10594,-- Fowls of the species Gallus dome,Switzerland,WLD, World,Import,5,,6.201,0.126,
H4,CHE,10599,-- Other,Switzerland,WLD, World,Import,5,,0.206,,
H4,CHE,10611,-- Primates,Switzerland,WLD, World,Import,5,17.047,6.624,0.76,58.858
H4,CHE,10612,"-- Whales, dolphins and porpoises (",Switzerland,WLD, World,Import,5,,,0.057,
H4,CHE,10613,-- Camels and other camelids (Camel,Switzerland,WLD, World,Import,5,12.308,39.517,25.228,52.471
H4,CHE,10614,-- Rabbits and hares,Switzerland,WLD, World,Import,5,53.057,176.795,113.026,67.926
H4,CHE,10619,-- Other,Switzerland,WLD, World,Import,5,13729.553,13650.692,11916.123,11222.884
H4,CHE,10620,- Reptiles (including snakes and tu,Switzerland,WLD, World,Import,5,119.385,195.378,127.872,44.683
H4,CHE,10631,-- Birds of prey,Switzerland,WLD, World,Import,5,5.754,5.112,4.733,81.602
H4,CHE,10632,-- Psittaciformes (including parrot,Switzerland,WLD, World,Import,5,25.468,30.333,4.344,12.64
H4,CHE,10633,-- Ostriches; emus (Dromaius novaeh,Switzerland,WLD, World,Import,5,,,,0.051
H4,CHE,10639,-- Other,Switzerland,WLD, World,Import,5,8.835,3.509,14.642,47.651
H4,CHE,10641,-- Bees,Switzerland,WLD, World,Import,5,132.632,219.17,127.561,299.843
H4,CHE,10649,-- Other,Switzerland,WLD, World,Import,5,3577.342,3556.332,3501.391,2581.324
H4,CHE,10690,- Other,Switzerland,WLD, World,Import,5,2218.281,2867.745,2684.902,3110.045
H4,CHE,20110,- Carcasses and half-Carcasses,Switzerland,WLD, World,Import,5,63202.725,61583.165,45719.044,35563.364
H4,CHE,20120,- Other cuts with bone in,Switzerland,WLD, World,Import,5,6724.973,5890.223,5052.027,6913.993
H4,CHE,20130,- Boneless,Switzerland,WLD, World,Import,5,141653.59,145892.854,144285.361,158770.581
H4,CHE,20210,- Carcasses and half-Carcasses,Switzerland,WLD, World,Import,5,1.079,,,
H4,CHE,20220,- Other cuts with bone in,Switzerland,WLD, World,Import,5,11.577,74.203,95.635,106.373
H4,CHE,20230,- Boneless,Switzerland,WLD, World,Import,5,10046.169,9435.608,7181.856,5022.32
