"Nomenclature","ReporterISO3","ProductCode","ReporterName","PartnerISO3","PartnerName","TradeFlowName","TradeFlowCode","2013 in 1000 USD ","2014 in 1000 USD ","2015 in 1000 USD ","2016 in 1000 USD "
"H4","ARG","010121","Argentina","WLD"," World","Export",6,2042.839,2136.042,1492.76,3495.044
"H4","ARG","010129","Argentina","WLD"," World","Export",6,13311.737,17121.944,15062.198,27705.416
"H4","ARG","010221","Argentina","WLD"," World","Export",6,420.343,1169.609,688.815,864.094
"H4","ARG","010229","Argentina","WLD"," World","Export",6,195.505,399.282,41.746,6.512
"H4","ARG","010392","Argentina","WLD"," World","Export",6,,93.19,116.792,23.13
"H4","ARG","010410","Argentina","WLD"," World","Export",6,46.651,48.961,33.06,26.345
"H4","ARG","010420","Argentina","WLD"," World","Export",6,,,,3.05
"H4","ARG","010511","Argentina","WLD"," World","Export",6,1190.105,1144.08,1059.38,740.36
"H4","ARG","010611","Argentina","WLD"," World","Export",6,,,,19.2
"H4","ARG","010613","Argentina","WLD"," World","Export",6,7.65,13.04,15.755,
"H4","ARG","010614","Argentina","WLD"," World","Export",6,124.687,128.978,76.047,70.725
"H4","ARG","010619","Argentina","WLD"," World","Export",6,99.949,131.401,203.638,203.164
"H4","ARG","010620","Argentina","WLD"," World","Export",6,25.325,41.065,56.938,45.87
"H4","ARG","010632","Argentina","WLD"," World","Export",6,121.76,191.31,213.24,99.4
"H4","ARG","010639","Argentina","WLD"," World","Export",6,124.22,347.735,244.07,196.1
"H4","ARG","010641","Argentina","WLD"," World","Export",6,173.704,178.851,131.157,184.837
"H4","ARG","010649","Argentina","WLD"," World","Export",6,1.74,47.49,38.61,43.28
"H4","ARG","010690","Argentina","WLD"," World","Export",6,0.09,,,
"H4","ARG","020120","Argentina","WLD"," World","Export",6,86.635,8.682,7.719,112.679
"H4","ARG","020130","Argentina","WLD"," World","Export",6,656404.981,663046.552,506886.45,600452.852
"H4","ARG","020220","Argentina","WLD"," World","Export",6,16653.966,2409.571,916.82,14068.824
"H4","ARG","020230","Argentina","WLD"," World","Export",6,320153.142,373325.114,356083.605,413120.33
"H4","ARG","020322","Argentina","WLD"," World","Export",6,,31.914,,
"H4","ARG","020329","Argentina","WLD"," World","Export",6,85.282,27.069,520.244,624.787
"H4","ARG","020422","Argentina","WLD"," World","Export",6,0.57,,61.62,
"H4","ARG","020430","Argentina","WLD"," World","Export",6,2574.088,5219.075,1811.385,1360.055
"H4","ARG","020441","Argentina","WLD"," World","Export",6,427.142,442.683,295.394,
"H4","ARG","020442","Argentina","WLD"," World","Export",6,2584.952,7088.022,3130.028,3978.005
"H4","ARG","020443","Argentina","WLD"," World","Export",6,1166.082,1204.207,619.234,1359.837
