Nomenclature,ReporterISO3,ProductCode,ProductDescription,ReporterName,PartnerISO3,PartnerName,TradeFlowName,TradeFlowCode,2013 in 1000 USD ,2014 in 1000 USD ,2015 in 1000 USD ,2016 in 1000 USD 
H4,ARG,10121,-- Pure-bred breeding animals,Argentina,WLD, World,Export,6,2042.839,2136.042,1492.76,3495.044
H4,ARG,10129,-- Other,Argentina,WLD, World,Export,6,13311.737,17121.944,15062.198,27705.416
H4,ARG,10221,-- Pure-bred breeding animals,Argentina,WLD, World,Export,6,420.343,1169.609,688.815,864.094
H4,ARG,10229,-- Other,Argentina,WLD, World,Export,6,195.505,399.282,41.746,6.512
H4,ARG,10392,-- Weighing 50 kg or more,Argentina,WLD, World,Export,6,,93.19,116.792,23.13
H4,ARG,10410,- Sheep,Argentina,WLD, World,Export,6,46.651,48.961,33.06,26.345
H4,ARG,10420,- Goats,Argentina,WLD, World,Export,6,,,,3.05
H4,ARG,10511,-- Fowls of the species Gallus dome,Argentina,WLD, World,Export,6,1190.105,1144.08,1059.38,740.36
H4,ARG,10611,-- Primates,Argentina,WLD, World,Export,6,,,,19.2
H4,ARG,10613,-- Camels and other camelids (Camel,Argentina,WLD, World,Export,6,7.65,13.04,15.755,
H4,ARG,10614,-- Rabbits and hares,Argentina,WLD, World,Export,6,124.687,128.978,76.047,70.725
H4,ARG,10619,-- Other,Argentina,WLD, World,Export,6,99.949,131.401,203.638,203.164
H4,ARG,10620,- Reptiles (including snakes and tu,Argentina,WLD, World,Export,6,25.325,41.065,56.938,45.87
H4,ARG,10632,-- Psittaciformes (including parrot,Argentina,WLD, World,Export,6,121.76,191.31,213.24,99.4
H4,ARG,10639,-- Other,Argentina,WLD, World,Export,6,124.22,347.735,244.07,196.1
H4,ARG,10641,-- Bees,Argentina,WLD, World,Export,6,173.704,178.851,131.157,184.837
H4,ARG,10649,-- Other,Argentina,WLD, World,Export,6,1.74,47.49,38.61,43.28
H4,ARG,10690,- Other,Argentina,WLD, World,Export,6,0.09,,,
H4,ARG,20120,- Other cuts with bone in,Argentina,WLD, World,Export,6,86.635,8.682,7.719,112.679
H4,ARG,20130,- Boneless,Argentina,WLD, World,Export,6,656404.981,663046.552,506886.45,600452.852
H4,ARG,20220,- Other cuts with bone in,Argentina,WLD, World,Export,6,16653.966,2409.571,916.82,14068.824
H4,ARG,20230,- Boneless,Argentina,WLD, World,Export,6,320153.142,373325.114,356083.605,413120.33
H4,ARG,20322,"-- Hams, shoulders and cuts thereof",Argentina,WLD, World,Export,6,,31.914,,
H4,ARG,20329,-- Other,Argentina,WLD, World,Export,6,85.282,27.069,520.244,624.787
H4,ARG,20422,-- Other cuts with bone in,Argentina,WLD, World,Export,6,0.57,,61.62,
H4,ARG,20430,- Carcasses and half-Carcasses of l,Argentina,WLD, World,Export,6,2574.088,5219.075,1811.385,1360.055
H4,ARG,20441,-- Carcasses and half-Carcasses,Argentina,WLD, World,Export,6,427.142,442.683,295.394,
H4,ARG,20442,-- Other cuts with bone in,Argentina,WLD, World,Export,6,2584.952,7088.022,3130.028,3978.005
H4,ARG,20443,-- Boneless,Argentina,WLD, World,Export,6,1166.082,1204.207,619.234,1359.837
H4,ARG,20450,- Meat of Goats,Argentina,WLD, World,Export,6,35.287,43.816,184.105,334.45
H4,ARG,20500,"Meat of horses, asses, mules or hin",Argentina,WLD, World,Export,6,58218.653,59763.079,53993.57,51243.195
H4,ARG,20610,"- of bovine animals, fresh or chill",Argentina,WLD, World,Export,6,182.764,126.69,96.563,355.612
H4,ARG,20621,-- Tongues,Argentina,WLD, World,Export,6,26102.702,23949.551,15432.817,11355.527
H4,ARG,20622,-- Livers,Argentina,WLD, World,Export,6,26100.462,31455.78,27823.638,25855.504
H4,ARG,20629,-- Other,Argentina,WLD, World,Export,6,112527.017,101013.226,76604.868,82503.535
H4,ARG,20641,-- Livers,Argentina,WLD, World,Export,6,,5.555,22.032,84.195
H4,ARG,20649,-- Other,Argentina,WLD, World,Export,6,3654.947,4730.339,2265.815,4290.262
H4,ARG,20680,"- Other, fresh or chilled",Argentina,WLD, World,Export,6,827.346,890.272,621.376,524.624
H4,ARG,20690,"- Other, frozen",Argentina,WLD, World,Export,6,988.594,1111.009,1163.214,1323.813
H4,ARG,20711,"-- Not cut in pieces, fresh or chil",Argentina,WLD, World,Export,6,,127.077,70.917,73.535
H4,ARG,20712,"-- Not cut in pieces, frozen",Argentina,WLD, World,Export,6,487994.71,354559.05,146628.7,80742.494
H4,ARG,20714,"-- cuts and offal, frozen",Argentina,WLD, World,Export,6,161343.923,191991.283,161079.518,156786.011
H4,ARG,20810,- of Rabbits or hares,Argentina,WLD, World,Export,6,8701.409,7956.848,7159.394,7769.172
H4,ARG,20890,- Other,Argentina,WLD, World,Export,6,304.373,181.082,100.826,263.954
H4,ARG,20910,- of pigs,Argentina,WLD, World,Export,6,3.6,4.05,1202.699,1137.496
H4,ARG,21011,"-- Hams, shoulders and cuts thereof",Argentina,WLD, World,Export,6,6.028,3.579,51.393,0.303
H4,ARG,21012,-- Bellies (streaky) and cuts there,Argentina,WLD, World,Export,6,14.875,10.653,13.003,15.774
H4,ARG,21019,-- Other,Argentina,WLD, World,Export,6,571.899,147.259,236.128,215.03
